#ACT-CL;RAJ2000;DEJ2000;SNR;z;e_z;n_z;M500c;M500cC;M200m
# ;deg;deg; ; ; ; ;10+14Msun;10+14Msun;10+14Msun
#------------;-----------;-----------;------;-------;-------;----;------;------;------
J0000.0-3837;000.0208978;-38.6267324; 4.794; 0.3006; 0.0066;phot; 1.697; 2.390; 3.081
J0000.2-4357;000.0606011;-43.9554936; 7.679; 0.8781; 0.0139;phot; 2.457; 3.461; 4.188
J0000.3-2805;000.0899003;-28.0912490; 5.665; 0.2826; 0.0000;spec; 2.730; 3.846; 5.040
J0000.3-3936;000.0833333;-39.6041688; 4.059; 0.3562; 0.0091;phot; 1.491; 2.100; 2.660
J0000.4-0102;000.1135326;-01.0448114; 4.998; 0.4388; 0.0000;spec; 1.517; 2.136; 2.660
J0000.4-0552;000.1139795;-05.8806251; 4.606; 0.2017; 0.0000;spec; 1.670; 2.352; 3.131
J0000.7+0225;000.1790875;+02.4183876; 6.193; 0.4227; 0.0000;spec; 2.046; 2.882; 3.623
J0000.7-5957;000.1831542;-59.9583333; 4.307; 0.4892; 0.0208;phot; 2.020; 2.845; 3.533
J0000.9-0712;000.2374473;-07.2124611; 4.356; 0.5514; 0.0000;spec; 1.972; 2.777; 3.416
J0000.9-5748;000.2457085;-57.8095176; 6.347; 0.7019; 0.0000;spec; 2.968; 4.180; 5.113
J0001.2-4843;000.3009246;-48.7194952; 8.606; 0.3464; 0.0188;phot; 2.540; 3.578; 4.598
J0001.4-0002;000.3625327;-00.0388952; 5.924; 0.2471; 0.0000;spec; 1.867; 2.630; 3.454
J0001.4-4024;000.3584209;-40.4108516; 5.480; 0.9063; 0.0179;phot; 1.905; 2.683; 3.228
J0001.6-0354;000.4083333;-03.9041578; 4.105; 0.7833; 0.0146;phot; 1.468; 2.068; 2.482
J0001.6-0757;000.4041122;-07.9583575; 4.802; 0.7034; 0.0238;phot; 2.041; 2.874; 3.487
J0001.6-5440;000.4189518;-54.6702908; 4.894; 0.8827; 0.0142;phot; 2.355; 3.317; 4.009
J0001.9+1203;000.4826503;+12.0616774; 7.300; 0.1993; 0.0000;spec; 3.067; 4.320; 5.844
J0002.0-5557;000.5130360;-55.9571437; 4.807; 1.1500; 0.0967;phot; 2.168; 3.054; 3.699
J0002.3+0131;000.5833333;+01.5249095; 4.615; 0.8381; 0.0000;spec; 1.602; 2.257; 2.709
J0002.3-0359;000.5787226;-03.9973919; 7.969; 0.9678; 0.0000;spec; 2.337; 3.292; 3.977
J0002.4-5400;000.6125056;-54.0166667; 4.063; 0.6321; 0.0109;phot; 2.138; 3.012; 3.679
J0002.5-5017;000.6375780;-50.2890923; 4.870; 0.9615; 0.0245;phot; 1.697; 2.390; 2.868
J0003.0-3520;000.7734008;-35.3483233; 5.509; 0.7675; 0.0178;phot; 1.962; 2.763; 3.338
J0003.0-4439;000.7676920;-44.6656069; 6.274; 0.7198; 0.0142;phot; 2.203; 3.102; 3.766
J0003.2-0605;000.8025284;-06.0893865;19.972; 0.2334; 0.0000;spec; 6.457; 9.094;12.389
J0003.4-3513;000.8687483;-35.2313045; 4.389; 0.8911; 0.0215;phot; 1.685; 2.373; 2.849
J0003.6-4900;000.9056099;-49.0055660; 4.505; 0.6427; 0.0151;phot; 1.643; 2.314; 2.808
J0003.7+1001;000.9353215;+10.0247773; 8.725; 0.3693; 0.0000;spec; 4.251; 5.988; 7.748
J0003.8+0203;000.9541795;+02.0626096; 5.491; 0.0924; 0.0000;spec; 1.942; 2.735; 3.833
J0003.8-3517;000.9501769;-35.2958536; 4.990; 0.7518; 0.0142;phot; 1.903; 2.681; 3.239
J0003.9+1642;000.9924136;+16.7018065;14.811; 1.3052; 0.0323;phot; 4.319; 6.083; 7.543
J0004.8-3459;001.2013407;-34.9845833; 8.260; 0.2847; 0.0059;phot; 2.830; 3.986; 5.225
J0005.0+0212;001.2516479;+02.2016742; 5.040; 0.8492; 0.0126;phot; 1.736; 2.445; 2.938
J0005.0-0138;001.2682605;-01.6440335;11.584; 0.9792; 0.0258;phot; 3.017; 4.250; 5.163
J0005.0-5415;001.2652939;-54.2569562; 4.481; 0.5253; 0.0066;phot; 2.323; 3.271; 4.053
J0005.2-5027;001.3150049;-50.4550806; 4.324; 0.6087; 0.0129;phot; 1.705; 2.401; 2.926
J0005.5-1023;001.3906266;-10.3842852; 4.839; 0.5488; 0.0000;spec; 2.887; 4.066; 5.046
J0005.7+0222;001.4416326;+02.3708310; 4.845; 0.8397; 0.0000;spec; 1.678; 2.364; 2.839
J0005.7-3751;001.4366750;-37.8595174;13.955; 0.5030; 0.0000;spec; 4.210; 5.930; 7.472
J0005.9-3443;001.4956697;-34.7249392; 5.371; 0.1144; 0.0000;spec; 1.814; 2.555; 3.536
J0006.0-4208;001.5119520;-42.1344966; 5.021; 0.8279; 0.0114;phot; 1.883; 2.652; 3.194
