#Name;RAJ2000;DEJ2000;Counts;z;TX
# ;deg;deg;ct; ;keV
#------------;----------;----------;-------;------;------
J0000.2-2510;000.057917;-25.181139;  877.6;  0.08;  1.80
J0000.4-2512;000.124167;-25.203167;  651.6;  0.15;  0.81
J0001.0-2503;000.265833;-25.064889;  362.4;  0.91;
J0001.6-1540;000.422500;-15.675361; 1134.9;  0.12;  1.80
J0006.4+1959;001.609167;+19.995611;  117.7;  0.46;
J0011.2+0052;002.817083;+00.869806;  155.3;  0.36;  0.70
J0016.6-0102;004.162917;-01.036528;  402.7;  0.17;  1.70
J0017.6-0052;004.405833;-00.876500;12103.1;  0.21;  4.80
J0020.6-0204;005.165417;-02.077833;   65.4;  0.27;
J0023.2+0012;005.808750;+00.200417;  302.2;  0.27;
J0026.8+1719;006.708333;+17.325361;  354.7;  0.49;  3.30
J0029.5+3453;007.399167;+34.889639;  244.8;  0.73;  3.50
J0029.8+3505;007.474583;+35.085417;  110.8;  0.45;
J0034.1-4322;008.531667;-43.376917;   93.8;  0.40;  1.60
J0034.5-4319;008.625417;-43.318222; 1909.8;  0.40;  3.50
J0034.6-1207;008.664167;-12.121056;  410.8;  0.44;  6.50
J0035.8-4322;008.950833;-43.375667;  736.2;  0.63;  3.30
J0036.0+8513;009.020833;+85.223556;  664.9;  0.81;  3.90
J0036.4-4328;009.114583;-43.475250; 1036.5;  0.41;  4.60
J0041.3+2526;010.331250;+25.438583; 1409.9;  0.15; 14.70
J0042.5+0051;010.631667;+00.855528;  205.8;  0.15;  1.60
J0042.8+0043;010.719167;+00.717528;  290.9;  0.27;  2.70
J0043.5+0101;010.890417;+01.019333;  526.2;  0.20;  1.70
J0043.9+0007;010.997083;+00.118556;  308.5;  0.22;  5.30
J0044.1+0056;011.037917;+00.946694;   69.5;  0.79;
J0046.2+8531;011.563333;+85.521528; 1584.6;  0.62;  5.10
J0046.4+4204;011.602083;+42.074861;10443.1;  0.30;  6.90
J0047.8+8527;011.972917;+85.454306;  609.9;  0.31;  6.80
