 Cluster,RAJ2000,DEJ2000,RA1deg,DE1deg,Ngal,z,r80,R
   1,310.2457,+01.0069,310.2508,+01.0129,  6, 0.3989,  36.2,3
   2,309.6124,-00.7411,309.6138,-00.7411,  5, 0.4430,  32.4,2
   3,309.2410,+00.2318,309.2548,+00.2275, 13, 0.3531, 121.4,2
   4,309.4992,+00.3656,309.5018,+00.3496,  7, 0.3733, 112.3,2
   5,310.1182,+00.3762,310.1332,+00.3744, 10, 0.3422, 129.9,2
   6,309.5974,+00.3510,309.6000,+00.3556,  6, 0.3363,  19.0,2
   7,310.3185,-00.1015,310.3113,-00.0994, 20, 0.4745,  46.5,3
   8,311.1152,+00.5531,311.1149,+00.5416,  7, 0.1809,  41.5,4
   9,309.4023,+01.0265,309.3985,+01.0234,  6, 0.1954,  59.5,2
  10,309.4037,+00.5948,309.4014,+00.6037,  9, 0.2616,  35.9,2
  11,310.4287,-00.5422,310.4139,-00.5347,  5, 0.5210,  67.1,2
  12,309.7308,+00.5310,309.7372,+00.5366,  9, 0.1967,  45.9,1
  13,309.3316,+00.9037,309.3322,+00.9000, 11, 0.3978,  89.0,2
  14,310.0924,-00.4165,310.0904,-00.4165,  9, 0.4379,  99.8,2
  15,310.0570,+00.4866,310.0731,+00.5029, 13, 0.4645, 102.8,2
  16,310.3366,-00.9560,310.3380,-00.9594,  8, 0.2445,  35.3,2
  17,310.9431,-00.9594,310.9415,-00.9539,  8, 0.2441,  39.8,4
  18,311.0473,-01.0513,311.0303,-01.0450,  5, 0.4150,  66.2,0
  19,309.4701,-00.3064,309.4710,-00.3061,  5, 0.2694,  19.4,2
  20,309.8219,+00.7452,309.8249,+00.7415, 10, 0.2171,  56.6,2
  21,310.8875,+00.4007,310.8807,+00.3989,  6, 0.3015,  30.5,2
  22,311.0229,-01.0613,311.0161,-01.0672, 10, 0.3363,  52.8,4
  23,310.7159,+00.5211,310.7238,+00.5228,  5, 0.1721,  26.9,1
  24,309.7127,+00.9039,309.7188,+00.9006,  5, 0.3517,  31.8,0
  25,309.6757,-00.8231,309.6885,-00.8219,  5, 0.3962,  59.9,2
  26,309.6970,-01.2101,309.6975,-01.2055,  8, 0.2333,  95.8,2
  27,309.1854,-00.0151,309.1858,-00.0131,  5, 0.4620,  17.0,4
