# id ra dec z_spec Veli Velf Nwcls Nmemb Vdisp Vdisp_lo Vdisp_hi R500 R500_lo R500_hi M500 M500_lo M500_hi R200 R200_lo R200_hi M200 M200_lo M200_hi znew znew-err Rap Nmemb-wR200 SN
00007  11.563149   0.003128   0.113151  32768.815  35197.134     85   56    675.390    -40.726     59.676   0.951345  -0.052533   0.076977   2.731179  -0.452444   0.662966   1.078510  -0.059555   0.087266   2.849732  -0.472083   0.691744   0.113427   0.002047  1.079   31     17.830
00009  18.804724   0.274470   0.045079  12437.490  14853.517    226  183    449.935    -27.539     41.668   0.672613  -0.037700   0.057041   0.903384  -0.151905   0.229837   0.894534  -0.050139   0.075862   0.984468  -0.165540   0.250466   0.044923   0.001505  0.895   73     17.104
00013   7.334955  -0.194457   0.059819  16684.949  18992.452    180  123    454.357    -33.020     47.631   0.677352  -0.045079   0.065025   0.935620  -0.186800   0.269456   0.845249  -0.056252   0.081143   1.001193  -0.199892   0.288341   0.059936   0.001332  0.845   60     16.836
00016 323.951441   0.174197   0.117957  34185.634  36807.019     48   38    565.712    -50.507     90.647   0.792886  -0.064826   0.116345   1.588773  -0.389690   0.699390   0.979455  -0.080079   0.143721   1.699792  -0.416921   0.748261   0.118763   0.001832  0.979   18     16.309
00018 321.454514   0.929138   0.136358  40380.245  41505.366     81   31    305.302    -31.808     65.830   0.437128  -0.041706   0.086314   0.271233  -0.077634   0.160671   0.539579  -0.051481   0.106544   0.287542  -0.082302   0.170332   0.136409   0.001009  0.540    9     16.180
00022  29.078711   1.055362   0.080156  22521.309  25476.363    103   92    632.386    -38.810     55.476   0.906530  -0.050947   0.072825   2.287324  -0.385646   0.551251   1.133584  -0.063708   0.091066   2.461419  -0.414999   0.593209   0.080259   0.002041  1.134   64     15.038
00033  22.865376   0.550527   0.079676  22824.999  25053.356     86   66    442.229    -35.139     57.414   0.650502  -0.047333   0.077338   0.844740  -0.184400   0.301295   0.781789  -0.056886   0.092947   0.893552  -0.195055   0.318704   0.079508   0.001392  0.782   23     13.825
00035  11.857240  -0.873879   0.116803  34218.311  35901.046     87   19    498.972    -36.789     69.699   0.701335  -0.047353   0.089713   1.098250  -0.222454   0.421456   0.905437  -0.061133   0.115821   1.188111  -0.240656   0.455941   0.117285   0.001742  0.905   15     13.566
00046  41.465246  -0.713967   0.180564  53171.190  55415.437     34   22    529.966    -73.888    142.797   0.712876  -0.091016   0.175899   1.231510  -0.471699   0.911607   0.878003  -0.112099   0.216643   1.314612  -0.503529   0.973122   0.180580   0.001774  0.878   11     13.220
00049 353.846809   1.049370   0.084718  24352.141  26414.713     74   62    575.995    -40.286     64.028   0.836911  -0.053603   0.085194   1.807806  -0.347362   0.552081   0.918295  -0.058815   0.093479   1.864028  -0.358165   0.569250   0.085207   0.001629  0.918   30     13.106
00053  11.472195  -0.861642   0.109125  31287.240  33377.393     93   31    610.719    -58.263     82.427   0.851639  -0.074402   0.105259   1.951432  -0.511448   0.723568   1.079549  -0.094312   0.133428   2.106941  -0.552205   0.781229   0.108833   0.002083  1.080   18     12.796
00055  15.683547   1.146442   0.143367  42308.211  43575.134     20   10    356.841    -54.348     96.531   0.486395  -0.067839   0.120492   0.376354  -0.157474   0.279696   0.632449  -0.088209   0.156673   0.405277  -0.169576   0.301190   0.143766   0.001231  0.632    6     12.774
00056  46.604935  -0.120544   0.109621  31735.730  33913.422    100   83    544.878    -32.297     47.874   0.773301  -0.041975   0.062219   1.461668  -0.238018   0.352813   1.024573  -0.055614   0.082436   1.596455  -0.259966   0.385347   0.109474   0.001960  1.025   41     12.736
00062  19.708698  -1.069616   0.045771  12925.252  14456.892     93   57    422.022    -29.358     44.528   0.626775  -0.039928   0.060560   0.731466  -0.139793   0.212025   0.876124  -0.055813   0.084652   0.807060  -0.154240   0.233937   0.046106   0.001503  0.876   29     12.135
00063  50.594466   0.441886   0.132001  38664.833  40523.546     61   31    392.320    -40.739     66.621   0.560386  -0.053288   0.087143   0.568926  -0.162301   0.265413   0.776797  -0.073867   0.120796   0.625059  -0.178314   0.291600   0.131894   0.001492  0.777   22     12.106
00068  29.479653  -0.728378   0.187837  55919.688  56780.392     23    5    224.454    -12.550     27.535   0.304543  -0.015593   0.034213   0.096754  -0.014862   0.032608   0.424885  -0.021755   0.047732   0.105099  -0.016144   0.035421   0.188113   0.001079  0.425    5     11.873
00076  32.541978  -1.044931   0.173565  50999.494  52991.015     58   45    515.469    -45.967     78.409   0.702442  -0.057363   0.097847   1.169606  -0.286536   0.488765   0.897433  -0.073286   0.125009   1.261902  -0.309147   0.527334   0.174235   0.001870  0.897   15     11.494
00077  41.605963  -0.571591   0.042822  12339.458  13299.393    113   40    256.216    -20.574     38.207   0.402719  -0.029613   0.054995   0.193490  -0.042684   0.079268   0.466884  -0.034331   0.063757   0.201462  -0.044443   0.082534   0.043012   0.000749  0.467   20     11.484
00085  20.221549  -0.535956   0.092904  26970.529  29006.419     57   21    447.682    -54.172     96.934   0.649179  -0.071936   0.128721   0.850545  -0.282750   0.505946   0.726795  -0.080537   0.144111   0.880838  -0.292820   0.523965   0.092683   0.001128  0.727   13     11.008
