# id      ra          dec        z         zerr       sn     rich  rich-err R200 R200-err
00001 323.369000  -0.821922   0.072000   0.008000   100.000   0.00   0.00   0.15   0.10
00003 351.526280   1.199452   0.185000   0.005000    22.201   0.00   0.00   0.15   0.10
00005   5.763514  -0.123320   0.153000   0.003000    19.439  18.35   4.28   1.12   0.26
00007  11.572113   0.019957   0.112000   0.002000    17.830  18.64   4.32   1.14   0.26
00009  18.797306   0.271083   0.052000   0.002000    17.104  25.60   5.06   1.45   0.29
00013   7.333900  -0.193256   0.056500   0.001500    16.836  25.12   5.01   1.43   0.29
00016 323.940640   0.153413   0.129000   0.004000    16.309  18.49   4.30   1.13   0.26
00018 321.441620   0.947100   0.134500   0.004500    16.180  13.06   3.61   0.87   0.24
00019 352.082820   1.213339   0.183300   0.001700    15.977   0.00   0.00   0.15   0.10
00022  29.081150   1.060930   0.095150   0.000150    15.038  18.33   4.28   1.12   0.26
00025 328.600900   0.622266   0.225200   0.000200    14.646   9.75   3.12   0.69   0.22
00028 355.258060   0.073116   0.194000   0.004000    14.196   8.27   2.88   0.61   0.21
00033  22.871489   0.545915   0.085000   0.005000    13.825  14.90   3.86   0.96   0.25
00035  11.863456  -0.884633   0.121000   0.001000    13.566  15.53   3.94   0.99   0.25
00041  41.540253  -0.041039   0.160800   0.004200    13.354   1.60   1.27   0.17   0.14
00044   5.063463   0.059998   0.199900   0.004900    13.275   9.25   3.04   0.66   0.22
00046  41.479176  -0.704108   0.179000   0.001000    13.220  10.31   3.21   0.72   0.22
00047 336.054440   0.336348   0.192100   0.002100    13.217   7.71   2.78   0.58   0.21
00048   5.426930  -0.869949   0.100000   0.000000    13.200  12.02   3.47   0.81   0.23
00049 353.835170   1.052459   0.088000   0.002000    13.106  13.33   3.65   0.88   0.24
00053  11.479206  -0.858218   0.108000   0.003000    12.796  18.39   4.29   1.13   0.26
00055  15.678255   1.130872   0.143000   0.003000    12.774  12.41   3.52   0.83   0.24
00056  46.606060  -0.124258   0.109000   0.004000    12.736  21.70   4.66   1.28   0.27
00058  46.093460   1.036260   0.136000   0.004000    12.668   6.76   2.60   0.52   0.20
00062  19.683770  -1.103050   0.049000   0.001000    12.135  10.77   3.28   0.75   0.23
00063  50.583527   0.437959   0.133000   0.002000    12.106  11.62   3.41   0.79   0.23
00068  29.496044  -0.708876   0.194000   0.001000    11.873   2.11   1.45   0.21   0.15
00071 352.528530  -1.237042   0.101000   0.004000    11.760   0.00   0.00   0.15   0.10
00074   7.607511  -0.653028   0.201900   0.008100    11.539   1.19   1.09   0.14   0.13
00076  32.535030  -1.030743   0.165600   0.004400    11.494  11.50   3.39   0.78   0.23
00077  41.587284  -0.527121   0.058500   0.008500    11.484   6.39   2.53   0.50   0.20
00079  13.294034  -0.797424   0.143000   0.003000    11.199  11.02   3.32   0.76   0.23
00080  33.383987  -1.290016   0.210500   0.000500    11.151   5.91   2.43   0.47   0.19
00085  20.244177  -0.541241   0.091500   0.001500    11.008   9.98   3.16   0.70   0.22
00086 353.346130  -1.141656   0.108000   0.002000    11.005  11.28   3.36   0.77   0.23
00087   0.676176  -0.519772   0.214600   0.005400    10.963   7.39   2.72   0.56   0.21
00090  33.557476  -0.183750   0.142000   0.003000    10.931  11.58   3.40   0.79   0.23
00094  56.342540   1.011545   0.203000   0.008000    10.830   6.20   2.49   0.49   0.20
00095 338.788120  -1.131874   0.089000   0.006000    10.812  16.55   4.07   1.04   0.26
00099   8.568287   0.836033   0.194000   0.009000    10.559   8.49   2.91   0.62   0.21
00100 344.561920   0.509189   0.213000   0.007000    10.510   2.35   1.53   0.23   0.15
00103  11.011013   0.113126   0.189000   0.001000    10.445   6.65   2.58   0.51   0.20
00105 328.735400   0.914700   0.184000   0.006000    10.372   5.02   2.24   0.41   0.19
00107   5.216805   0.149993   0.209600   0.000400    10.280   4.45   2.11   0.38   0.18
00109  29.867163  -0.110477   0.140000   0.005000    10.257  10.88   3.30   0.75   0.23
00110   7.220543   0.309884   0.184000   0.006000    10.250   3.66   1.91   0.32   0.17
00111   9.435396   0.029967   0.227400   0.002600    10.238   0.77   0.88   0.10   0.11
00114  40.813637  -1.021848   0.227000   0.003000    10.196   3.52   1.88   0.32   0.17
00115   3.200099   0.306658   0.138000   0.003000    10.178   6.16   2.48   0.48   0.20
00118   7.621028  -0.929567   0.225750   0.005750    10.115   4.54   2.13   0.38   0.18
