# id      ra          dec        z         zerr       sn     rich  rich-err R200 R200-err
00001 323.369000  -0.823484   0.090000   0.000000    79.249   0.00   0.00   0.15   0.10
00006 351.526250   1.201108   0.185000   0.005000    35.678   0.00   0.00   0.15   0.10
00013  53.529240  -1.236897   0.155000   0.000000    30.937   6.17   2.48   0.49   0.20
00017  55.367530  -1.227603   0.147000   0.002000    30.568   0.00   0.00   0.15   0.10
00020   5.760180  -0.124987   0.151000   0.001000    29.114  19.62   4.43   1.18   0.27
00030  43.206608  -1.283111   0.125000   0.005000    25.418   4.96   2.23   0.41   0.18
00033  11.572113   0.021620   0.115000   0.000000    25.098  19.75   4.44   1.19   0.27
00038  49.375317   1.259800   0.190000   0.000000    23.281   3.12   1.77   0.29   0.16
00043 323.940640   0.154979   0.138000   0.008000    22.722   0.00   0.00   0.15   0.10
00045 352.086180   1.211685   0.183300   0.001700    22.592   0.00   0.00   0.15   0.10
00057 328.600900   0.623854   0.230000   0.000000    21.128   9.41   3.07   0.67   0.22
00059 327.410130   1.295728   0.130000   0.000000    20.507   3.53   1.88   0.32   0.17
00071 355.258060   0.071454   0.200000   0.005000    19.950   7.88   2.81   0.59   0.21
00074   7.337235  -0.194921   0.060000   0.000000    19.728  23.16   4.81   1.35   0.28
00078  29.081161   1.062558   0.092300   0.007700    19.484  20.25   4.50   1.21   0.27
00079  18.797304   0.269431   0.050000   0.000000    19.453  28.48   5.34   1.58   0.30
00080 326.777370  -1.290179   0.025000   0.000000    19.299   5.76   2.40   0.46   0.19
00091 326.442930  -1.288902   0.201000   0.006000    18.780   2.42   1.56   0.24   0.15
00093   5.063463   0.061664   0.197400   0.002600    18.758   9.84   3.14   0.70   0.22
00102  41.479164  -0.702529   0.191000   0.006000    18.306  10.32   3.21   0.72   0.22
00104 336.054440   0.334731   0.193250   0.001750    18.187   8.77   2.96   0.64   0.22
00112  41.540253  -0.039460   0.165600   0.004400    17.919   0.91   0.95   0.11   0.12
00116  11.863458  -0.886296   0.126000   0.001000    17.791  15.63   3.95   0.99   0.25
00126  46.114174  -1.271132   0.205000   0.000000    17.448   2.45   1.57   0.24   0.15
00136  22.871485   0.544271   0.085000   0.000000    17.158  14.69   3.83   0.95   0.25
00141   5.420261  -0.864949   0.110000   0.000000    17.049  14.80   3.85   0.95   0.25
00143  46.097046   1.037803   0.130000   0.010000    16.954   8.28   2.88   0.61   0.21
00145  47.176834   1.269650   0.055000   0.000000    16.817   1.44   1.20   0.16   0.13
00147  41.287502  -1.290566   0.155000   0.000000    16.811   3.04   1.74   0.28   0.16
00148  15.678260   1.132530   0.142100   0.002900    16.744  13.24   3.64   0.87   0.24
00158 353.835140   1.054119   0.100000   0.000000    16.478  12.38   3.52   0.83   0.24
00162  50.620758  -1.250951   0.066000   0.001000    16.403   0.85   0.92   0.11   0.11
00163  46.602486  -0.125813   0.110000   0.000000    16.390  21.63   4.65   1.28   0.27
00164  44.745895   1.279998   0.202000   0.002000    16.363   2.30   1.52   0.23   0.15
00168  11.479209  -0.859881   0.102000   0.008000    16.269  19.61   4.43   1.18   0.27
00171  44.891663  -1.276269   0.070000   0.000000    16.093   2.52   1.59   0.24   0.15
00175  29.496052  -0.710502   0.200000   0.000000    15.974   3.93   1.98   0.34   0.17
00185 327.599730   1.296437   0.205000   0.000000    15.728   0.92   0.96   0.11   0.12
00191  50.583538   0.439490   0.143500   0.003500    15.589   8.46   2.91   0.62   0.21
00193   7.604177  -0.654694   0.205000   0.010000    15.514   1.45   1.21   0.16   0.13
00203  32.535040  -1.032358   0.180000   0.005000    15.250  12.50   3.54   0.84   0.24
00215  59.659750  -1.204676   0.037000   0.003000    14.914   0.91   0.95   0.11   0.12
00217 326.175100   1.291025   0.205000   0.005000    14.780   0.00   0.00   0.15   0.10
00219 352.528500  -1.238701   0.110000   0.000000    14.763   0.41   0.64   0.06   0.09
00223 325.518830  -1.285318   0.185000   0.000000    14.698   0.98   0.99   0.12   0.12
00224  46.014233   1.274670   0.069000   0.004000    14.675   3.08   1.76   0.28   0.16
00226   0.676177  -0.518106   0.219100   0.005900    14.627   8.38   2.89   0.61   0.21
00244  13.294037  -0.799085   0.142500   0.002500    14.194  11.97   3.46   0.81   0.23
00255  56.342518   1.010048   0.200000   0.000000    14.033   7.83   2.80   0.58   0.21
00265 344.561920   0.510832   0.229500   0.004500    13.845   2.98   1.73   0.28   0.16
00266  33.557472  -0.182138   0.142500   0.007500    13.814  10.74   3.28   0.74   0.23
00270   8.568288   0.837699   0.198000   0.008000    13.745   7.81   2.80   0.58   0.21
00273 353.346130  -1.146634   0.115000   0.000000    13.737  20.12   4.49   1.21   0.27
00274  47.847880   1.266693   0.085000   0.000000    13.731   2.51   1.58   0.24   0.15
00276   5.216805   0.148326   0.209600   0.005400    13.634   4.79   2.19   0.40   0.18
00278 323.911300  -1.278884   0.071000   0.001000    13.612   0.00   0.00   0.15   0.10
00279   9.435396   0.031632   0.228000   0.007000    13.588   0.85   0.92   0.11   0.11
00280 327.361000  -1.292380   0.065000   0.005000    13.553   6.50   2.55   0.51   0.20
00281 328.735400   0.916288   0.195000   0.000000    13.540   5.12   2.26   0.42   0.19
00298  11.011013   0.114790   0.195000   0.000000    13.379   7.38   2.72   0.56   0.21
00302  40.813652  -1.023430   0.227000   0.008000    13.342   4.15   2.04   0.36   0.18
00323  20.240807  -0.539593   0.095000   0.000000    13.079  10.22   3.20   0.72   0.22
00326   7.217209   0.311551   0.195000   0.000000    13.068   4.56   2.13   0.38   0.18
00328  46.850800  -1.267967   0.081000   0.006000    13.056   2.24   1.50   0.22   0.15
00334   7.621027  -0.927901   0.225000   0.000000    12.985   4.94   2.22   0.41   0.18
00339  54.548030   1.234801   0.200000   0.000000    12.914   0.00   0.00   0.15   0.10
00345 359.471340   1.267332   0.213000   0.003000    12.806   8.83   2.97   0.64   0.22
00346  38.477566   0.078016   0.188000   0.007000    12.779   4.45   2.11   0.38   0.18
00348  20.462564  -0.186413   0.194000   0.006000    12.775   5.46   2.34   0.44   0.19
00350  29.867163  -0.108852   0.150000   0.000000    12.737  11.74   3.43   0.80   0.23
00358   3.200099   0.304991   0.140000   0.000000    12.674   7.12   2.67   0.54   0.20
00371   7.897488   0.018323   0.225000   0.000000    12.473   1.99   1.41   0.20   0.14
00382 338.791530  -1.130255   0.108000   0.003000    12.376  28.47   5.34   1.58   0.30
00388  48.902504   1.261957   0.130000   0.005000    12.322   1.92   1.39   0.20   0.14
00392  36.985340  -1.146104   0.067000   0.003000    12.239  13.67   3.70   0.90   0.24
00408  26.411219   0.188040   0.210000   0.000000    12.018   3.00   1.73   0.28   0.16
00410 350.603880   1.087450   0.135000   0.000000    11.996  13.30   3.65   0.88   0.24
00413  44.883694   0.254628   0.225000   0.000000    11.990   5.15   2.27   0.42   0.19
00419  13.337052  -0.450196   0.170000   0.000000    11.871   2.42   1.56   0.24   0.15
00420  41.587307  -0.531856   0.055000   0.000000    11.870   8.23   2.87   0.61   0.21
00421   4.203468  -1.135018   0.165000   0.000000    11.860  12.77   3.57   0.85   0.24
00424  50.771084   0.775841   0.165000   0.000000    11.841   5.61   2.37   0.45   0.19
00427  10.891608   1.026533   0.178500   0.006500    11.799   8.57   2.93   0.63   0.21
00428  11.155279  -0.913268   0.186000   0.009000    11.798   4.78   2.19   0.40   0.18
00430  32.794420  -1.209382   0.180000   0.000000    11.786  10.06   3.17   0.71   0.22
00431 332.316000   1.213523   0.155000   0.000000    11.779   9.17   3.03   0.66   0.22
00448 351.102230   0.312981   0.147800   0.002200    11.616  11.73   3.42   0.80   0.23
00457  30.346746  -0.459334   0.155000   0.000000    11.521   8.10   2.85   0.60   0.21
00497  45.685955   1.276064   0.170000   0.000000    11.053   2.72   1.65   0.26   0.16
00500  42.009430   1.290957   0.177550   0.002550    11.033   1.42   1.19   0.16   0.13
00502  19.658070  -0.160176   0.095000   0.000000    11.029   8.94   2.99   0.65   0.22
00505  48.653790   1.263084   0.220000   0.000000    10.995   0.67   0.82   0.09   0.11
00510  18.623524  -0.808455   0.164000   0.006000    10.963   7.78   2.79   0.58   0.21
00536  38.851246  -1.299508   0.172000   0.002000    10.833   0.80   0.90   0.10   0.11
00538  27.949629   1.208337   0.100000   0.000000    10.828   9.98   3.16   0.70   0.22
00543  49.776577   1.257952   0.129000   0.004000    10.785   0.82   0.90   0.10   0.11
00544  46.704086   1.271707   0.134000   0.001000    10.774   1.16   1.08   0.13   0.12
00552 358.176670   1.106879   0.205000   0.000000    10.747   3.30   1.82   0.30   0.17
00553 328.038270  -1.294892   0.165800   0.000800    10.744   3.73   1.93   0.33   0.17
00557  11.598855  -0.144688   0.225000   0.000000    10.702   2.50   1.58   0.24   0.15
00559 326.359560  -0.805941   0.175000   0.000000    10.682  12.96   3.60   0.86   0.24
00562 329.382230  -0.902012   0.205000   0.000000    10.671   9.43   3.07   0.67   0.22
00565 325.628270   1.288895   0.135000   0.005000    10.659   1.48   1.22   0.16   0.13
00568   9.085155   0.451238   0.215000   0.000000    10.629   2.93   1.71   0.27   0.16
00574 330.123930  -0.569066   0.105000   0.000000    10.576  11.92   3.45   0.81   0.23
00586 331.254940  -0.583543   0.132000   0.008000    10.502   5.93   2.43   0.47   0.19
00590  20.059248  -0.645347   0.229000   0.004000    10.482   2.43   1.56   0.24   0.15
00594   9.989918  -0.877175   0.110000   0.000000    10.463   8.34   2.89   0.61   0.21
00595 359.992370   0.694561   0.095000   0.000000    10.459  11.96   3.46   0.81   0.23
00619  30.141788   0.576437   0.156000   0.001000    10.294   7.47   2.73   0.56   0.21
00621 324.287350  -1.280412   0.150000   0.005000    10.267   0.00   0.00   0.15   0.10
00626  15.365007  -0.077954   0.125000   0.000000    10.239   8.83   2.97   0.64   0.22
00629 358.824920  -0.164826   0.216800   0.003200    10.196   4.27   2.07   0.37   0.18
00632  55.156887   1.231692   0.142800   0.002200    10.169   2.28   1.51   0.23   0.15
00641  46.110645   1.274259   0.210000   0.000000    10.120   2.05   1.43   0.21   0.15
00649  17.673704   1.060845   0.185000   0.000000    10.075   9.75   3.12   0.69   0.22
00669   2.206446  -1.088204   0.151200   0.006200     9.994   2.68   1.64   0.26   0.16
00675  43.961147   1.283215   0.152900   0.002900     9.944   0.00   0.00   0.15   0.10
00676  42.545660  -1.285719   0.160000   0.010000     9.939   5.37   2.32   0.44   0.19
00677  14.349050  -1.263274   0.225000   0.000000     9.937   2.84   1.69   0.27   0.16
00688 344.006620  -0.638412   0.130000   0.000000     9.896  13.14   3.63   0.87   0.24
00690  11.832817   0.380795   0.130000   0.000000     9.879   9.26   3.04   0.66   0.22
00696   5.767032   0.988239   0.230000   0.000000     9.850   2.72   1.65   0.26   0.16
00698  53.510937   1.240016   0.177000   0.002000     9.843   0.92   0.96   0.11   0.12
00699   0.692940  -0.201578   0.210000   0.000000     9.843   1.16   1.08   0.13   0.12
00700 336.001040   0.819761   0.205000   0.000000     9.839   2.40   1.55   0.24   0.15
00723   0.836041   0.911310   0.190000   0.000000     9.715   7.05   2.66   0.54   0.20
00725  18.018621  -0.729577   0.195000   0.000000     9.708   3.90   1.98   0.34   0.17
00736  53.010070  -0.784322   0.170900   0.000900     9.670   6.76   2.60   0.52   0.20
00740  23.763021  -1.147883   0.170000   0.000000     9.644   6.29   2.51   0.49   0.20
00744  45.756110  -0.191593   0.219000   0.009000     9.637   7.44   2.73   0.56   0.21
00753  20.649030  -0.819701   0.200000   0.000000     9.599   6.26   2.50   0.49   0.20
00754  36.984825   1.088558   0.135000   0.000000     9.598   9.68   3.11   0.69   0.22
00758  19.857529  -0.734656   0.230000   0.000000     9.582   2.43   1.56   0.24   0.15
00768 325.903600  -1.286820   0.075000   0.000000     9.554   1.53   1.24   0.17   0.13
00769  26.951700   0.191130   0.225000   0.000000     9.552   1.57   1.25   0.17   0.14
00771  54.282776  -1.233126   0.205000   0.000000     9.549   0.00   0.00   0.15   0.10
00774  55.559950   1.229615   0.193100   0.001900     9.538   0.55   0.74   0.08   0.10
00776  59.558086   1.208190   0.227000   0.002000     9.529   0.49   0.70   0.07   0.10
00783   9.779188  -0.301294   0.180000   0.000000     9.488   2.17   1.47   0.22   0.15
00787 329.451300   0.997654   0.170000   0.000000     9.469   3.71   1.93   0.33   0.17
00795  28.262281   1.064214   0.065000   0.000000     9.431  14.90   3.86   0.96   0.25
00798  36.307423  -1.071224   0.209100   0.005900     9.418   2.88   1.70   0.27   0.16
00801 340.922450   0.334712   0.216400   0.001400     9.405   1.36   1.17   0.15   0.13
00804  27.814322  -0.768234   0.205000   0.000000     9.394   0.92   0.96   0.11   0.12
00808  10.466915   0.474265   0.155000   0.000000     9.382   5.36   2.31   0.44   0.19
00812 329.471700  -0.545790   0.146000   0.009000     9.364   8.08   2.84   0.60   0.21
00815  57.598690   0.831916   0.215000   0.000000     9.354   4.96   2.23   0.41   0.18
00821  27.556526   0.980739   0.150000   0.000000     9.346   8.41   2.90   0.62   0.21
00823   6.400439   0.788178   0.196100   0.008900     9.343   2.57   1.60   0.25   0.15
00828  40.594550  -0.859461   0.230000   0.000000     9.312   1.33   1.15   0.15   0.13
00829 324.241200   1.283359   0.135000   0.000000     9.311   0.00   0.00   0.15   0.10
00833  10.991811   1.033134   0.115000   0.000000     9.307   7.12   2.67   0.54   0.20
00840  10.093376   0.857161   0.115000   0.000000     9.282   7.13   2.67   0.54   0.20
00853  42.400180   0.077144   0.230000   0.000000     9.222   3.31   1.82   0.30   0.17
00866 339.569580   0.483718   0.202000   0.002000     9.181   4.48   2.12   0.38   0.18
00875 326.667940   0.456220   0.230000   0.000000     9.145   0.00   0.00   0.15   0.10
00885  28.345411   0.627342   0.140000   0.000000     9.109  10.19   3.19   0.71   0.22
00888   4.616787  -0.181665   0.205000   0.000000     9.096   3.49   1.87   0.31   0.17
00889  56.724926   1.223525   0.154700   0.000300     9.093   1.45   1.20   0.16   0.13
00890 325.547100  -1.285429   0.080000   0.000000     9.089   2.99   1.73   0.28   0.16
00892 327.055200   1.294392   0.124000   0.004000     9.087   0.95   0.97   0.11   0.12
00897  14.059792  -0.599391   0.120000   0.005000     9.073  11.04   3.32   0.76   0.23
00902 333.346100  -0.152671   0.100000   0.000000     9.058   8.11   2.85   0.60   0.21
00903 340.664120   1.104870   0.065000   0.000000     9.056   6.95   2.64   0.53   0.20
00904  53.896580   1.238089   0.130000   0.000000     9.056   1.07   1.03   0.13   0.12
00905 328.930150   0.538625   0.200000   0.000000     9.053   4.77   2.19   0.40   0.18
00920  13.989635   0.675804   0.075000   0.000000     9.015  11.80   3.43   0.80   0.23
00921 328.592040   0.074606   0.170000   0.000000     9.006   4.90   2.21   0.41   0.18
00922   1.206369  -0.584818   0.080000   0.000000     9.006   0.76   0.87   0.10   0.11
00926 348.323820   0.004953   0.224000   0.009000     8.996   1.85   1.36   0.19   0.14
00936   6.634098   1.224720   0.160000   0.000000     8.970   4.76   2.18   0.40   0.18
00939  43.337580   1.285729   0.169100   0.004100     8.951   0.00   0.00   0.15   0.10
00941  31.379950   0.876216   0.230000   0.000000     8.949   3.30   1.82   0.30   0.17
00943 326.518280   1.166104   0.090000   0.000000     8.944   2.11   1.45   0.21   0.15
00952  33.175790   0.495267   0.175000   0.000000     8.919   5.56   2.36   0.45   0.19
